time	I(C1)
6.264908497863591e-08	8.542657e-02
6.284439747863591e-08	8.063068e-02
6.303970997863592e-08	7.469490e-02
6.323502247863592e-08	6.763512e-02
6.343033497863593e-08	5.955756e-02
6.362564747863593e-08	5.058375e-02
6.382095997863594e-08	4.084870e-02
6.401627247863594e-08	3.049888e-02
6.421158497863595e-08	1.969001e-02
6.440689747863595e-08	8.584717e-03
6.460220997863596e-08	-2.649905e-03
6.479752247863596e-08	-1.384483e-02
6.499283497863596e-08	-2.483160e-02
6.518814747863597e-08	-3.544494e-02
6.538345997863597e-08	-4.552514e-02
6.557877247863598e-08	-5.492054e-02
6.577408497863598e-08	-6.348976e-02
6.596939747863599e-08	-7.110390e-02
6.616470997863599e-08	-7.764836e-02
6.636002247863600e-08	-8.302470e-02
6.655533497863600e-08	-8.715200e-02
6.675064747863601e-08	-8.996817e-02
6.694595997863601e-08	-9.143084e-02
6.714127247863602e-08	-9.151798e-02
6.733658497863602e-08	-9.027181e-02
6.750662541386698e-08	-8.810142e-02
6.766078827214988e-08	-8.517545e-02
6.785610077214989e-08	-8.030303e-02
6.805141327214989e-08	-7.429133e-02
6.824672577214990e-08	-6.716198e-02
6.844203827214990e-08	-5.902220e-02
6.863735077214991e-08	-4.999444e-02
6.883266327214991e-08	-4.021452e-02
6.902797577214992e-08	-2.982956e-02
6.922328827214992e-08	-1.899579e-02
6.941860077214993e-08	-7.876178e-03
6.961391327214993e-08	3.361985e-03
6.980922577214994e-08	1.454964e-02
7.000453827214994e-08	2.551849e-02
7.019985077214995e-08	3.610352e-02
7.039516327214995e-08	4.614550e-02
7.059047577214996e-08	5.549335e-02
7.078578827214996e-08	6.400647e-02
7.098110077214996e-08	7.155676e-02
7.117641327214997e-08	7.803067e-02
7.137172577214997e-08	8.333078e-02
7.156703827214998e-08	8.737738e-02
7.176235077214998e-08	9.010958e-02
7.195766327214999e-08	9.148628e-02
7.215297577214999e-08	9.148677e-02
7.234828827215000e-08	9.011105e-02
7.254360077215000e-08	8.740944e-02
7.272099251871497e-08	8.378735e-02
7.291630501871498e-08	7.857019e-02
7.311161751871498e-08	7.220075e-02
7.330693001871499e-08	6.474520e-02
7.350224251871499e-08	5.631571e-02
7.369755501871500e-08	4.703907e-02
7.389286751871500e-08	3.705481e-02
7.408818001871501e-08	2.651314e-02
7.428349251871501e-08	1.557262e-02
7.447880501871502e-08	4.397822e-03
7.467411751871502e-08	-6.843155e-03
7.486943001871503e-08	-1.798122e-02
7.506474251871503e-08	-2.884884e-02
7.526005501871504e-08	-3.928252e-02
7.545536751871504e-08	-4.912534e-02
7.565068001871504e-08	-5.822922e-02
7.584599251871505e-08	-6.645722e-02
7.604130501871505e-08	-7.368558e-02
7.623661751871506e-08	-7.980556e-02
7.643193001871506e-08	-8.472512e-02
7.662724251871507e-08	-8.837024e-02
7.682255501871507e-08	-9.068610e-02
7.701786751871508e-08	-9.163786e-02
7.721318001871508e-08	-9.121121e-02
7.740849251871509e-08	-8.941256e-02
7.760380501871509e-08	-8.626896e-02
7.779911751871510e-08	-8.182772e-02
7.799443001871510e-08	-7.615562e-02
7.818974251871511e-08	-6.933799e-02
7.838505501871511e-08	-6.147738e-02
7.858036751871512e-08	-5.269203e-02
7.877568001871512e-08	-4.311408e-02
7.897099251871513e-08	-3.288762e-02
7.916630501871513e-08	-2.216645e-02
7.936161751871514e-08	-1.111186e-02
7.955693001871514e-08	1.098869e-04
7.975224251871514e-08	1.132999e-02
7.994755501871515e-08	2.237967e-02
8.014286751871515e-08	3.309274e-02
8.033818001871516e-08	4.330803e-02
8.053349251871516e-08	5.287191e-02
8.072880501871517e-08	6.164052e-02
8.092411751871517e-08	6.948195e-02
8.111943001871518e-08	7.627825e-02
8.131474251871518e-08	8.192722e-02
8.151005501871519e-08	8.634388e-02
8.170536751871519e-08	8.946178e-02
8.190068001871520e-08	9.123404e-02
8.209599251871520e-08	9.163399e-02
8.229130501871521e-08	9.071965e-02
